date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,region
2020-05-12,1.67319034350233,1.6647222056966702,1.448473067715483,1.8318938898185884,21.510542523949194,0.0,0.0,0.0,0.0,Azua
2020-05-13,1.6391572475984209,1.6346891249002593,1.44461619274164,1.8016189425797817,0.26197071973313524,0.0,0.0,0.0,0.0,Azua
2020-05-14,1.6075449052061412,1.6075322096568363,1.4296101798318364,1.750691485326653,3.7146091834834754,0.0,0.0,0.0,0.0,Azua
2020-05-15,1.570556535288628,1.5688379659400367,1.4113162932465613,1.716050490582313,7.0614646943551795,0.0,0.0,0.0,0.0,Azua
2020-05-16,1.5303928962962474,1.5282137002130194,1.3839415248057052,1.65598060358878,7.7100308014549634,0.0,0.0,0.0,0.0,Azua
2020-05-17,1.4869888378844873,1.4867793233112714,1.3619639921856106,1.6276677318353745,7.946936494624502,0.0,0.0,0.0,0.0,Azua
2020-05-18,1.4442860286806083,1.4419800224611976,1.3120870587319204,1.5579099779914454,8.61280029282784,1.3768280807863684,0.0,0.0,0.0,Azua
2020-05-19,1.4003828061942811,1.4002213859941088,1.274119387211592,1.5030854281887416,9.423363116274452,2.1428057339741358,0.0,0.0,0.0,Azua
2020-05-20,1.3529281394984922,1.3491401473321751,1.2385774006509163,1.4561859706896767,10.188847670760678,2.646087109721181,0.0,0.0,0.0,Azua
2020-05-21,1.309497750422331,1.3056250911440854,1.2026505157066067,1.4124007011635138,10.915089467764025,3.1472053012433876,0.0,0.0,0.0,Azua
2020-05-22,1.2688186673402213,1.2673142526956744,1.15854331231795,1.363922373881733,11.61744045635028,3.7991987821304227,6.542865903774627,6.0,49.0,Azua
2020-05-23,1.2313076688738678,1.228131883799982,1.1242659210138115,1.3199935686932893,12.285775263520906,4.3592413087413115,5.582594539787803,7.0,67.0,Azua
2020-05-24,1.194881686721122,1.1898603393660712,1.1174637129377856,1.3047340525534072,12.908198508401318,5.101846209989814,11.874089973516915,6.0,27.0,Azua
2020-05-25,1.161616588849995,1.1571625006963044,1.064602409028589,1.24564125264611,13.477262102547373,5.623005056817131,16.357164759436564,6.0,18.0,Azua
2020-05-26,1.1320124812341528,1.1256829493259597,1.0280753677197272,1.2100032808798864,13.986613344430651,6.24144751879919,10.686680976165224,11.0,55.0,Azua
2020-05-27,1.105162116234746,1.0988161557292404,1.0157561180268508,1.1913091139467178,14.43138007998533,6.982035329310914,0.0,0.0,2.0,Azua
2020-05-28,1.0810757012092262,1.0758378905223571,0.9945370814056258,1.1540271972961031,14.810880826301391,7.588336849534723,18.639559842148646,15.0,43.0,Azua
2020-05-29,1.060628524276919,1.0599965340954,0.9706115674033216,1.140882261793236,15.126607744323364,8.26647403821198,17.381950985328977,27.0,83.0,Azua
2020-05-30,1.045344318941213,1.0424631936297581,0.94779112540761,1.1213585639143144,15.380766609264649,8.930747080734028,14.694186342227184,22.0,80.0,Azua
2020-05-31,1.0295573430069167,1.0280636368097198,0.9390879735556402,1.1045193437897625,15.578174876893456,9.663188877274392,17.81113496027537,17.0,51.0,Azua
2020-06-01,1.0156734079134395,1.0135688266001166,0.9282288931607277,1.0914492212665903,15.70137477984382,10.277920316419145,24.535747139154847,9.0,15.0,Azua
2020-06-02,1.0066326334885423,1.0067912342067453,0.9225909425558714,1.0845910747856744,15.813956162968285,10.895798868456174,10.904776506291043,4.0,10.0,Azua
2020-06-03,0.9990871210405219,0.9983507346426652,0.9172786814725175,1.0741508182876376,15.876445277961432,11.499333217619283,11.35459853717555,17.0,80.0,Azua
2020-06-04,0.9948012854811036,0.9942482590180829,0.9183169335864624,1.081603388581988,15.89999836677457,12.070729545304985,15.070960351002238,22.0,78.0,Azua
2020-06-05,0.9903348979844968,0.9895315017841922,0.911531664833646,1.064045928968037,15.900131344667118,12.594975048085097,27.26194126572761,10.0,17.0,Azua
2020-06-06,0.9870300434304977,0.9867387878617204,0.9102553197213924,1.066999242378248,15.884399579425244,13.09386001964655,18.16735765948088,17.0,50.0,Azua
2020-06-07,0.989726830699368,0.9875614558629092,0.8976294017715991,1.055033459624584,15.855989073978224,13.529982263655889,18.16735765948088,17.0,50.0,Azua
2020-06-08,0.9902474396705628,0.9884504648675447,0.9002094772617062,1.0571093721986047,15.817539044889317,13.908708094466753,8.905567480137686,6.0,36.0,Azua
2020-06-09,0.9943274095096732,0.9924494770092023,0.9102279733235394,1.0610886055507414,15.779129335222535,14.244025207629063,10.904776506291043,4.0,17.0,Azua
2020-06-10,0.9983545918311549,0.9977512428160729,0.9199706149943561,1.0765267523432873,15.746310053101913,14.546606642970158,14.033015423247264,26.0,99.0,Azua
2020-06-11,1.0043896059075421,1.0032823106524422,0.9270751987197652,1.0779742195713877,15.722048655953117,14.796295700598904,11.000995122523024,7.0,34.0,Azua
2020-06-12,1.0111140444900206,1.0135583125652445,0.9345038066174004,1.0855832703764954,15.710084189977252,15.008187653291568,27.829898375430272,25.0,48.0,Azua
2020-06-13,1.0197367886110427,1.0197911328885472,0.9390028467988555,1.0964569554254961,15.714130151489366,15.17070405047908,10.904776506291043,4.0,9.0,Azua
