date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,region
2020-05-12,1.3882427748183088,1.381253385167735,1.2103104359652155,1.553962714968713,29.890692119374034,0.0,0.0,0.0,0.0,La Vega
2020-05-13,1.380399608452394,1.3698593257416012,1.215334045293563,1.5359309074171519,0.30123214636167084,0.0,0.0,0.0,0.0,La Vega
2020-05-14,1.3736544433336277,1.3634136201229599,1.207987033138294,1.5170735597603258,4.270741403113823,0.0,0.0,0.0,0.0,La Vega
2020-05-15,1.3633386256038338,1.3568375101344725,1.2159225431642038,1.5027107041957266,8.104252785654941,0.0,0.0,0.0,0.0,La Vega
2020-05-16,1.3506255242955207,1.3451493069103424,1.2087689558401478,1.4743917624734248,8.733261403228262,0.0,0.0,0.0,0.0,La Vega
2020-05-17,1.3395999642957475,1.3372605673944977,1.224457617929179,1.4639724624297292,8.735755861349213,0.0,0.0,0.0,0.0,La Vega
2020-05-18,1.327594315318929,1.3199320648107573,1.2169884547546794,1.4576391859262499,9.163808162477592,2.033695393349235,0.0,0.0,0.0,La Vega
2020-05-19,1.3172622078339686,1.311215863707691,1.190051527003504,1.4231489179765309,9.781232660635096,3.1608386891229325,0.0,0.0,0.0,La Vega
2020-05-20,1.3071714534862964,1.3010474654573572,1.1899966059116933,1.4143187363950862,10.382941562309698,3.841281439899526,0.0,0.0,0.0,La Vega
2020-05-21,1.2953612755242034,1.2899728573444902,1.1716845410684602,1.3917015183689783,10.969624676339308,4.431467963665224,0.0,0.0,0.0,La Vega
2020-05-22,1.2857040149025893,1.2801061629916317,1.174872975917365,1.385266952282534,11.572328059715069,5.18549756210341,18.298929318784413,10.0,81.0,La Vega
2020-05-23,1.2747293451614192,1.2719894013476591,1.1724791760448618,1.381034355168016,12.19350012629706,5.764863862974997,9.460935796733217,12.0,188.0,La Vega
2020-05-24,1.2647145945322833,1.2641724539642003,1.144398554820694,1.350603148548732,12.828044054495704,6.574118147548813,10.002666271801788,11.0,163.0,La Vega
2020-05-25,1.2534903165360722,1.2544868222907612,1.1649426061693806,1.3723068580571278,13.47318399784549,7.017566533132046,2.449939297225682,2.0,121.0,La Vega
2020-05-26,1.2421536807589977,1.2384028383307333,1.1296880912559097,1.3308304459603786,14.12704711266634,7.568932872106598,16.4007001363379,8.0,52.0,La Vega
2020-05-27,1.2312593512540102,1.2289937855020803,1.1346487674668588,1.3264883942377648,14.786764556980314,8.276706767303995,14.822132748215376,8.0,80.0,La Vega
2020-05-28,1.2218919416269498,1.2210547041075959,1.1317765438330856,1.3239325665711055,15.448874011312347,8.7764534621406,4.100175034084475,2.0,69.0,La Vega
2020-05-29,1.208983427887353,1.2054486396084587,1.1142657991858105,1.300887303762908,16.111362625050976,9.378284901919866,6.525467247641989,7.0,159.0,La Vega
2020-05-30,1.1958982935809086,1.1946390029833114,1.092394667099624,1.2757552617134789,16.774231071870656,9.9677304080093,8.792790613348105,7.0,118.0,La Vega
2020-05-31,1.1841131207161586,1.183131533755785,1.0888308917064062,1.2651139867090373,17.431844691601384,10.680180860949672,18.450787653380136,9.0,67.0,La Vega
2020-06-01,1.1733248356730521,1.1694963273812267,1.0772151508780878,1.2509919914961405,18.045700569531576,11.251610946748336,9.666608314053505,6.0,92.0,La Vega
2020-06-02,1.1613152763184018,1.1560840219288067,1.0823698820933763,1.2591717002813807,18.681615457990215,11.868525827355413,10.250437585211188,5.0,51.0,La Vega
2020-06-03,1.1509127726401096,1.1457428130623197,1.0640211171381595,1.2482418573193044,19.293001942507004,12.516076954010813,0.0,0.0,23.0,La Vega
2020-06-04,1.1392947825438569,1.1393056995531317,1.0530566302073796,1.233823414969932,19.879672691470702,13.178670117719973,9.772834779043105,6.0,91.0,La Vega
2020-06-05,1.1300229978078706,1.1264222591614172,1.04459401035881,1.2234237864285236,20.44636330852549,13.839768760961306,18.821755870749683,16.0,126.0,La Vega
2020-06-06,1.1250162467743254,1.1249695663413508,1.0308838972643533,1.203467845894273,20.990107086181435,14.534747489233256,7.801122499060724,5.0,95.0,La Vega
2020-06-07,1.1174876144842034,1.1190833496851598,1.0239909771258224,1.195494229205993,21.50989225307485,15.210103366820697,15.009754681737089,16.0,158.0,La Vega
2020-06-08,1.1123431569479434,1.1120457802824544,1.01968233878996,1.1930547516576568,22.01475875958392,15.872064422729943,10.250437585211188,5.0,31.0,La Vega
2020-06-09,1.1108413863428757,1.1087488670555579,1.0242125087765475,1.1966557934873256,22.50687270789162,16.538830043176237,4.100175034084475,2.0,36.0,La Vega
2020-06-10,1.1079065345184531,1.1054881760136164,1.0231679957807378,1.1947002380788716,22.98630266335495,17.22314258143336,22.906932429060124,17.0,110.0,La Vega
2020-06-11,1.1093722198452132,1.1070337547732498,1.0158669393119457,1.189172164158358,23.462637749280677,17.88998337861351,31.944251612533133,25.0,116.0,La Vega
2020-06-12,1.1107258068513475,1.1093731763399106,1.017002718490051,1.1844055212485098,23.940925660264448,18.553730083051942,29.254209371477714,15.0,76.0,La Vega
2020-06-13,1.115643967640447,1.1130130256331388,1.0258771402298232,1.1912256729609436,24.428724188292346,19.18901822258161,4.100175034084475,2.0,23.0,La Vega
