date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,region
2020-05-21,1.4489859899488642,1.4456767405882904,1.2944664116667928,1.5958073017664858,2.1204458621989493,0.6743859610741421,0.0,0.0,0.0,Peravia
2020-05-22,1.4329821963360367,1.4298780136733626,1.256806713614631,1.549465561304826,2.2875300791866793,0.7892585218932089,0.0,0.0,0.0,Peravia
2020-05-23,1.4205565351906517,1.4172496018112868,1.2693601062523783,1.5550081333890646,2.4645860043554246,0.9375150856150101,1.7206659990271065,1.0,26.0,Peravia
2020-05-24,1.4073302053372023,1.4059201986066434,1.2736345968629985,1.5478007258075872,2.6509861822969527,1.0589340113872883,3.72810966455873,3.0,36.0,Peravia
2020-05-25,1.393751458237698,1.3884142004038267,1.2400754732386254,1.5102908909207478,2.845797168207538,1.2246663207942314,6.48366898184127,2.0,6.0,Peravia
2020-05-26,1.3793091721879864,1.3763757643543009,1.2275216179196924,1.4940284105926913,3.049149478287813,1.331582181970037,2.2368657987352383,1.0,20.0,Peravia
2020-05-27,1.365229566624806,1.3578884223561858,1.2349468137916484,1.4908138278424912,3.260865464031169,1.462703499010315,0.0,0.0,2.0,Peravia
2020-05-28,1.351325817642448,1.3481628411708446,1.2207045280805167,1.4720774164228074,3.4802437495621312,1.626459496022629,3.195522569621769,1.0,14.0,Peravia
2020-05-29,1.3359350115970081,1.3298762687297905,1.2078868501186675,1.4439989301436162,3.706633581009908,1.7593181430176503,2.631606822041457,1.0,17.0,Peravia
2020-05-30,1.319215582403869,1.3168193660132121,1.196779713662251,1.4359351104020068,3.939460444122727,1.9159616114134153,0.0,0.0,6.0,Peravia
2020-05-31,1.304523759642004,1.300306265063305,1.1937970249783085,1.4175523222359872,4.177220060661031,2.076600309636495,2.2368657987352383,2.0,40.0,Peravia
2020-06-01,1.2908310577639726,1.2878653020896587,1.179285299516097,1.4155115049019813,4.418012430173954,2.2647848012196623,0.0,0.0,5.0,Peravia
2020-06-02,1.2768921010997674,1.2733532002290426,1.1649471152644884,1.3894945395206202,4.655605235805485,2.434796703422669,0.0,0.0,6.0,Peravia
2020-06-03,1.265341351296835,1.2652350329642683,1.1360865801606845,1.3651861519305544,4.902592214279723,2.6195148698265847,0.0,0.0,11.0,Peravia
2020-06-04,1.2548152454589765,1.2545652338097355,1.1437710412174105,1.36822829042267,5.1493507527517055,2.816367163496025,5.263213644082914,2.0,17.0,Peravia
2020-06-05,1.2449818479013948,1.2413648395938506,1.1176400134830085,1.347938492208002,5.3963878443065365,3.022500170700656,3.241834490920635,1.0,2.0,Peravia
2020-06-06,1.2342841151416275,1.233375427734683,1.119856652056179,1.3352249473739446,5.645677940862071,3.2350508514773684,0.0,0.0,24.0,Peravia
2020-06-07,1.22633866396493,1.2209337215443306,1.1241104874640024,1.3546567165794345,5.897226136166687,3.4600782305801956,4.836466591859975,4.0,37.0,Peravia
2020-06-08,1.2168938595094874,1.2093345660610364,1.1072661342676728,1.3281767316275588,6.149957390774355,3.6880186984724257,3.241834490920635,1.0,7.0,Peravia
2020-06-09,1.2103746258977521,1.2061093618896406,1.0861225306014421,1.3080206647357575,6.403792803090488,3.9198364262839345,8.388246745257144,3.0,16.0,Peravia
2020-06-10,1.2018238023878416,1.2000979401305858,1.1006132637758665,1.3155696363461256,6.658675748704346,4.158508577290087,2.7960822484190477,1.0,16.0,Peravia
2020-06-11,1.1940633665446532,1.1902737037152242,1.0936980804940075,1.303173593309891,6.915150640957086,4.406004280234927,11.929950926587937,4.0,15.0,Peravia
2020-06-12,1.190580935847768,1.18922096392253,1.090161202840287,1.293464792329291,7.17262686363831,4.6561103781362325,13.980411242095238,5.0,16.0,Peravia
2020-06-13,1.1869519313649808,1.1859407861409967,1.0824920507235758,1.280050729789381,7.430042215946338,4.9114113649282665,3.241834490920635,1.0,5.0,Peravia
2020-06-14,1.1839756583070589,1.1801869562559424,1.0734955978827687,1.274135057359074,7.689966096141926,5.167535280238077,0.0,0.0,18.0,Peravia
2020-06-15,1.1779322532204042,1.1745634801601978,1.0851718373697075,1.27692730678906,7.954868471312255,5.429741884559256,0.0,0.0,10.0,Peravia
2020-06-16,1.1734017542948307,1.1704647835829136,1.0728759394732004,1.275232615690755,8.22476072843642,5.693857855703751,6.391045139243538,2.0,14.0,Peravia
2020-06-17,1.168684372982303,1.1666068311435978,1.0767659845571242,1.2742697764350233,8.497205752291714,5.961917571633115,10.101974574933333,7.0,31.0,Peravia
2020-06-18,1.1634628240663174,1.1611400538985335,1.0729234172406599,1.259773592127374,8.770636742996107,6.230935512507889,9.725503472761904,3.0,11.0,Peravia
2020-06-19,1.1581330520619995,1.1539273265159427,1.063170738958164,1.2531931630746116,9.045245588447807,6.503333250271587,4.862751736380952,5.0,46.0,Peravia
2020-06-20,1.1550612439422432,1.15061988173123,1.0447100515131262,1.2364890702087667,9.320573300110516,6.77671373880764,3.3138752573855377,2.0,27.0,Peravia
2020-06-21,1.1513003610813493,1.1475444028617388,1.0492194493989084,1.233444962848084,9.595620579852426,7.052969290750286,7.117300268703031,7.0,44.0,Peravia
2020-06-22,1.149208821444968,1.1441642358534263,1.0482804327557422,1.2353569270553548,9.871625541741352,7.330927401598558,9.41838231046416,4.0,19.0,Peravia
